Comprehensive Analysis of PSMG3 in Pan-Cancer  and Validation of Its Role in Hepatocellular Carcinoma									
Table S3  GO analysis of DEGs of PSMG3 in LIHC									
ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0044282	small molecule catabolic process	36/263	375/18870	5.08E-20	1.48E-16	1.23E-16	HPD/HSD17B6/TAT/ABAT/CYP39A1/ARG1/AMDHD1/ALDH8A1/ADH4/UROC1/SLC27A2/HAO2/OTC/AASS/CYP4A11/CDO1/EHHADH/AGXT/NUDT1/PAH/SDS/AKR1D1/ALDH1L1/ABCB11/MFSD2A/PKM/CYP3A4/CYP4F2/MAT1A/PCK1/ACADSB/HAO1/ALDH6A1/ALDOB/TDO2/SULT2A1	36
BP	GO:0016053	organic acid biosynthetic process	33/263	337/18870	1.11E-18	1.19E-15	9.87E-16	CYP2C9/BAAT/PDK4/CPS1/ABAT/CYP39A1/CYP8B1/CYP2C8/ALDH8A1/BHMT/CYP2E1/SLC27A2/OTC/CYP1A2/AASS/CYP4A11/CDO1/APOA5/AGXT/PAH/SDS/AKR1D1/ABCB11/FMO3/PYCARD/ACSM2A/ACSM5/CYP4A22/CYP3A4/PYCR1/SLC27A5/HAO1/CTH	33
BP	GO:0016054	organic acid catabolic process	29/263	252/18870	1.93E-18	1.19E-15	9.87E-16	HPD/TAT/ABAT/ARG1/AMDHD1/ALDH8A1/UROC1/SLC27A2/HAO2/OTC/AASS/CYP4A11/CDO1/EHHADH/AGXT/PAH/SDS/AKR1D1/ALDH1L1/ABCB11/MFSD2A/CYP4F2/MAT1A/PCK1/ACADSB/HAO1/ALDH6A1/TDO2/SULT2A1	29
BP	GO:0046395	carboxylic acid catabolic process	29/263	252/18870	1.93E-18	1.19E-15	9.87E-16	HPD/TAT/ABAT/ARG1/AMDHD1/ALDH8A1/UROC1/SLC27A2/HAO2/OTC/AASS/CYP4A11/CDO1/EHHADH/AGXT/PAH/SDS/AKR1D1/ALDH1L1/ABCB11/MFSD2A/CYP4F2/MAT1A/PCK1/ACADSB/HAO1/ALDH6A1/TDO2/SULT2A1	29
BP	GO:0071466	cellular response to xenobiotic stimulus	26/263	192/18870	2.04E-18	1.19E-15	9.87E-16	AADAC/CYP2C9/CRHBP/MCM7/UGT2B7/ACSL1/NAT2/CYP2C8/CYP2E1/CYP1A2/SLCO1B1/GSTA2/ABCB11/SLC10A1/FBP1/E2F1/GLYAT/AOX1/UGT2B15/CYP3A4/CYP4F2/CYP2B6/SLC22A1/CYP2A6/UGT1A1/SULT2A1	26
BP	GO:0008202	steroid metabolic process	32/263	327/18870	3.93E-18	1.90E-15	1.58E-15	CYP2C9/BAAT/HSD17B6/UGT2B7/CYP39A1/RDH16/SPP1/CYP8B1/CYP2C8/UGT2B10/CYP2E1/SLC27A2/HSD11B1/CYP1A2/UGT1A4/AKR1D1/ABCB11/SRD5A2/ANGPTL3/EPHX2/HMGCS2/APOF/UGT2B15/CYP3A4/CYP2B6/SLC27A5/G6PD/LCAT/AFP/CYP2A6/UGT1A1/SULT2A1	32
BP	GO:0046394	carboxylic acid biosynthetic process	32/263	334/18870	7.35E-18	3.06E-15	2.54E-15	CYP2C9/BAAT/PDK4/CPS1/ABAT/CYP39A1/CYP8B1/CYP2C8/ALDH8A1/BHMT/CYP2E1/SLC27A2/OTC/CYP1A2/AASS/CYP4A11/CDO1/APOA5/AGXT/PAH/SDS/AKR1D1/ABCB11/PYCARD/ACSM2A/ACSM5/CYP4A22/CYP3A4/PYCR1/SLC27A5/HAO1/CTH	32
BP	GO:1901605	alpha-amino acid metabolic process	26/263	207/18870	1.38E-17	5.00E-15	4.15E-15	HPD/BAAT/CPS1/TAT/ARG1/AMDHD1/ALDH8A1/BHMT/UROC1/OTC/AASS/CDO1/GNMT/AGXT/PAH/SDS/GLYAT/TTC36/GLYATL1/PYCR1/MAT1A/ACADSB/HAO1/ALDH6A1/CTH/TDO2	26
BP	GO:0009410	response to xenobiotic stimulus	35/263	434/18870	4.46E-17	1.37E-14	1.14E-14	AADAC/CYP2C9/CRHBP/CPS1/ABAT/MCM7/UGT2B7/ACSL1/NAT2/CYP2C8/CDK1/CYP2E1/FOSB/OTC/CA9/CYP1A2/SLCO1B1/GSTA2/ABCB11/SLC10A1/FBP1/E2F1/SRD5A2/GLYAT/HMGCS2/AOX1/UGT2B15/CYP3A4/CYP4F2/CYP2B6/FOS/SLC22A1/CYP2A6/UGT1A1/SULT2A1	35
BP	GO:0006805	xenobiotic metabolic process	21/263	125/18870	4.70E-17	1.37E-14	1.14E-14	AADAC/CYP2C9/UGT2B7/ACSL1/NAT2/CYP2C8/CYP2E1/CYP1A2/SLCO1B1/GSTA2/ABCB11/GLYAT/AOX1/UGT2B15/CYP3A4/CYP4F2/CYP2B6/SLC22A1/CYP2A6/UGT1A1/SULT2A1	21
BP	GO:0006520	amino acid metabolic process	27/263	291/18870	7.06E-15	1.87E-12	1.55E-12	HPD/BAAT/CPS1/TAT/ABAT/ARG1/AMDHD1/ALDH8A1/BHMT/UROC1/OTC/AASS/CDO1/GNMT/AGXT/PAH/SDS/GLYAT/TTC36/GLYATL1/PYCR1/MAT1A/ACADSB/HAO1/ALDH6A1/CTH/TDO2	27
BP	GO:0120254	olefinic compound metabolic process	21/263	162/18870	1.06E-14	2.56E-12	2.12E-12	CYP2C9/HSD17B6/ADH1A/RDH16/CYP2C8/ALDH8A1/ADH4/CYP2E1/CYP1A2/CYP4A11/ADH6/SRD5A2/ADH1C/EPHX2/CYP4A22/CYP3A4/CYP4F2/CYP2B6/ADH1B/AFP/CYP2A6	21
BP	GO:0009063	amino acid catabolic process	17/263	113/18870	3.23E-13	7.22E-11	5.99E-11	HPD/TAT/ABAT/ARG1/AMDHD1/ALDH8A1/UROC1/OTC/AASS/CDO1/AGXT/PAH/SDS/MAT1A/ACADSB/ALDH6A1/TDO2	17
BP	GO:0042445	hormone metabolic process	23/263	241/18870	4.25E-13	8.84E-11	7.34E-11	CYP2C9/HSD17B6/ADH1A/SELENOM/UGT2B7/RDH16/SPP1/CYP2C8/ALDH8A1/ADH4/UGT2B10/GHR/CYP1A2/ADH6/AKR1D1/SRD5A2/ADH1C/UGT2B15/CYP3A4/ADH1B/AFP/UGT1A1/SULT2A1	23
BP	GO:0010038	response to metal ion	27/263	359/18870	1.13E-12	2.20E-10	1.82E-10	MT1H/CRHBP/CPS1/TAT/ABAT/SLC13A5/SLC6A1/FGA/CDK1/FOSB/OTC/MT2A/CYP1A2/NUDT1/FGG/MT1E/MMP9/FBP1/HMGCS2/MT1G/HAMP/G6PD/MT1M/MT1X/MT1F/DTYMK/FOS	27
